class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
1,9.6926392,3.0182304,1838.237055,3.289074,626.5734732,36.4257934,4665,0.746003
1,6.390888,3.766,435,2.47201,1227,376.532,6191,1.32
1,0.9689927,2.5496309,13532.97102,17.1331258,2332.225901,6992.032823,6430,1.41398
1,10.338505,4.242,18162,11.8729,903,110.512,5336.96,0.84
0,1.283251,2.012261,1961.318203,2.558112,923.6720985,172.0252913,3855,0.560391
0,1.2284388,1.9190118,1229.496513,1.866263,841.1003116,118.2802346,3526,0.53023
1,9.6001126,4.9882857,380.4193796,2.4070295,950.8147029,193.1543783,5891,1.2103699
1,2.6998294,2.208,2798,4.94551,1639,1198.41,6180,0.92
0,0.581322,1.3261177,3206.601002,2.2014886,952.4881815,194.5178158,3446,0.38621
1,0.980972,0.5405036,6178.392421,5.9162923,1320.951709,719.5629045,4486,0.764401
1,5.3987355,3.127,352,2.25345,1192,335.249,5875.23,1.26
1,7.16199,7.668,800,5.05452,1649,1230.42,6229,1.81
0,1.4412175,1.666,12927,17.0442,1626,1160.55,5672.9,1.46
1,1.6849938,0.916,990,3.76716,1198,342.918,5923,1.11
1,3.9152737,2.562,3350,9.43435,1170,311.498,5714,1.58
1,3.1968838,3.7533697,7958.980656,14.9685779,1671.124929,1843.132991,6470,1.59715
1,3.9443668,4.8652146,6732.488454,14.5727196,1461.620826,1078.598699,5494,1.75475
1,4.5371361,4.042155,4199.755875,9.8153513,1326.626483,732.0077048,5731,1.48668
1,14.3392144,4.6064739,392.6346872,2.2963233,841.9410276,118.7538488,6295.7,1.1374201
1,2.8716983,4.668,8568,18.1267,2281,4494.25,6840,1.91
1,6.0964074,2.3632965,1142.489175,2.5856853,737.3642914,69.8633506,4820.4,0.731699
1,5.6666168,3.604,9780,14.8589,1277,442.536,6530,1.47
0,1.56029,2.751,1690,18.4825,3900,38412.5,6897,2.29
0,8.8735214,4.059,1949,6.0401,1591,1064.98,5992,1.18
0,7.6869063,4.652,4500,23.7824,1409,655.022,5147.3,3.07
0,1.3797091,2.352,1320,22.2329,3626,28702.5,5924,2.67
0,2.6796,2.771,7590,11.8862,1492,823.434,5938,1.32
0,11.0765063,4.692,4400,12.8076,1033,189.348,6460,1.86
0,2.6400663,3.368,1328,18.2671,2611,7719.64,5155,2.72
0,2.5778717,3.472,1010,18.687,4400,62241.5,8321,3.16
0,3.80509,3.347,1280,8.57193,1644,1214.11,6555.5,2.35
0,2.99041,3.952,1290,24.2511,4252,54264.3,8542,3.56
0,0.890967,1.784,1100,2.89678,2099,3225.32,5159.2,0.87
1,2.1096805,2.1344043,1309.729713,3.6396725,1284.923458,644.2138136,5673,0.940806
0,1.19888,1.558,1169.03,20.5525,2172,3694.96,7315,5.46
0,2.03905,2.26,430,6.42307,3550,26394.8,9003,2.68
0,2.9424142,4.073,1400,9.70968,3452,23595.1,6854,1.79
0,1.0793011,2.196,1562,3.31116,2612,7736.05,4349.3,0.67
0,4.0157492,2.706,1150,6.47219,1417,669.61,6585,2.07
0,2.01976,3.394,3963.85,7.3626,2444,5926.69,7274.6,1.72
1,8.1995368,2.1168277,903.3694431,1.9226211,577.2199136,26.2353114,4028,0.650533
0,2.65646,2.475,773.369,12.1711,1545,948.066,6135.4,3.98
1,4.7201912,4.416,6710,15.2105,1609,1112.85,6696,1.8
0,4.03349,2.684,1530,23.4514,2400,5512.68,11348,6.37
0,3.3295394,2.77,2620,14.3988,1916,2238,7965,2.35
0,3.8615978,1.678,1020,13.8394,1933,2320.32,7396,2.45
1,3.3448312,3.322,13626,21.2012,2277,4468.21,9364,1.76
1,95.174,11.6316864,2600.061605,7.8498891,254.6525048,0.9938316,5723.2,1.51811
1,8.8803281,2.71,1238,3.20594,777,60.7382,5555.7,0.92
1,28.580474,4.5139977,1081.396943,3.1455035,545.0001759,20.8500726,5555.7,0.920435
1,38.3511223,5.9120193,1029.091726,3.2843583,494.1094771,14.086845,5555.7,0.920435
1,1.4015183,1.1583061,593.7540922,1.4616853,891.6389885,149.3747543,3794,0.597007
0,8.5874668,5.1458902,1904.813148,5.3744721,895.5943008,152.0429498,5929,0.987583
0,6.4474918,2.643,9270,48.9878,1443,720.601,6477.6,1.69
0,3.4040139,4.837,935,5.34279,4701,81123.4,9622,1.65
0,13.7432169,2.73,5046,25.7481,1015,176.671,5941.5,1.4
1,8.47134,6.989,540,16.9325,2137,3465.35,5146,4.88
1,5.5025577,3.1711008,844.7022676,2.7049797,811.847988,102.6644008,4965,0.784109
1,1.7622537,0.8779711,733.5550822,2.5235818,1186.606643,468.5415425,4965,0.784109
1,0.8474218,0.8758764,424.3932848,1.7536544,1678.554981,1876.131549,5300,0.846387
1,4.8420438,2.4105648,318.6638392,1.6177405,938.9141348,183.6641995,5300,0.846387
0,2.14056,2.029,355.8315803,1.83828,1174,316.156,4567,0.84
1,4.1269046,4.405,10831,17.0952,1715,1436.49,6888,1.59
1,5.5402372,7.713,2710,17.4013,1925,2282.41,6415,3.39
0,4.4350025,2.252,2085,9.91393,2535,6855.78,9706,1.87
0,1.4287976,2.93,1768,9.00484,5621,165726,9224,1.65
1,2.1702725,2.1417853,5156.773536,15.2590586,2652.960208,11706.95491,9218,1.8527499
0,0.33759,1.351,529,2.96097,2725,9164.98,7387,1.37
0,1.67346,2.54,390,5.10182,3304,19786.3,10445,2.45
0,2.5152549,2.386,1870,13.4294,2311,4740.94,5915,2.11
