period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
1.05680287,5.748,82.3,0.83,1633.0,1686.88,5584.0,0.885,0.99998415
7.1925327,2.551,1180.0,2.5719,821.0,75.7071,5050.0,0.77,0.9999999
35.14578122,2.253,6790.0,32.5,480.0,12.6,5437.0,0.783,0.99898773
17.067644,6.026,262.0,1.62,769.0,82.56,6347.0,0.996,0.99967897
52.7993058,6.11948,541.2696023,2.3982714,464.183367,10.9718358,5409.22,1.02101,0.9999919
3.6948038,1.203,17237.0,10.2565,610.0,22.9867,4376.0,0.75,1.0
2.151214629,2.226,333.0,14.54,3287.0,27604.18,4748.0,8.179,1.0
5.185768,2.356,13002.0,7.50399,935.0,126.877,4664.8,0.65,0.9999995
6.2244575,5.174,1570.0,8.34496,1401.0,639.699,5692.8,2.08,1.0
1.33259095,4.947,106.0,1.14,1776.0,2349.35,6184.0,1.038,0.99997437
0.93372261,3.052,31.2,0.59,1949.0,3430.76,5984.0,1.017,0.9999989
6.89226333,2.4921,214.0,2.13,1156.0,422.14,5862.0,1.463,1.0
5.7772122,2.56341,1470.382126,2.8693434,751.4597253,75.3605118,4882.7,0.729818,1.0
1.4207284,1.988,4092.0,5.86248,1762.0,1601.42,5868.0,0.93,0.99999905
348.61891,3.567,689.0,2.4,253.0,0.97,5911.0,0.914,0.99998415
0.541396363,2.384,181.0,2.04,3204.0,24909.05,7118.0,1.489,0.9723707
3.3378852,3.261,5564.0,19.0038,1834.0,1878.15,6274.0,2.15,1.0
2.8371201,2.102,11560.0,13.1836,1131.0,271.99,5301.0,1.2,0.9999999
1.332564478,6.0325,1070.0,27.04,1618.0,1627.5,5995.0,0.878,0.9074946
5.614892073,3.7294,2370.0,1192.79,4097.0,66631.18,4289.0,35.695,0.9875136
6.6254781,2.358,122.0,0.9,828.0,111.18,5211.0,0.832,1.0
16.7100422,5.4004652,615.2873631,2.7396616,747.4400609,73.7609475,5853.7,1.09271,0.9999912
5.21228,3.863,8950.0,19.3512,1820.0,1823.95,8532.0,2.06,0.99409205
0.341842017,1.1554,286.0,1.72,2023.0,3991.16,5016.0,0.747,1.0
170.8658492,16.9895,29800.0,24.4,387.0,5.33,5989.0,1.324,7.7035395e-07
1.3666563,1.967,21070.0,15.437,1676.0,1310.22,5790.4,1.02,0.99996173
1.7063264,1.359,10980.0,10.1999,1091.0,235.772,4974.0,0.9,0.9999999
3.9349141,4.189,7660.0,14.3155,1586.0,1051.8,6200.0,1.61,0.999997
4.84847245,0.874,555.0,1.51,667.0,46.85,4137.0,0.647,1.0
10.38122447,2.715,802.0,2.18,672.0,48.37,5095.0,0.78,0.9999999
3.044771557,11.0593,488000.0,231.93,2816.0,14849.39,8199.0,3.163,0.0
61.4913415,9.627,3690.0,4.57,323.0,2.58,4796.0,0.598,0.9898657
9.087508013,2.7597,141.0,1.37,987.0,224.7,6078.0,1.119,0.99999976
5.43103616,2.469,66.8,0.66,873.0,137.1,5374.0,0.721,0.99999976
3.7219898,2.306,15860.0,12.8025,1116.0,257.512,5806.0,0.98,0.9999789
21.07626,2.124,1890.0,11.6504,660.0,31.6166,7577.0,2.46,1.0
55.180772,9.791,475.0,2.37,531.0,18.79,6306.0,1.076,0.9536278
0.65355361,1.63,4600.0,22.95,1437.0,1004.07,4550.0,0.66,0.9999989
6.02930329,1.5821,1910.0,2.85,678.0,50.04,4537.0,0.672,1.0
22.24814617,4.1483,614.0,2.72,609.0,32.58,5629.0,0.943,0.99999774
209.941369,2.97,477.0,14.36,651.0,42.43,5125.0,6.69,1.0
3.58273837,1.523,361.0,1.64,1064.0,302.74,5448.0,0.872,1.0
4.818863794,6.2625,65900.0,51.32,1595.0,1529.01,6313.0,1.935,0.0021791758
0.5055105,0.648232,2269.199137,4.9709812,2138.688151,4944.368776,4996.3,1.01489,1.0
6.72876606,2.277,117.0,1.03,940.0,184.66,5823.0,0.919,0.99999976
2.1663502,4.258,5930.0,14.4558,3298.0,19658.8,9394.0,1.92,0.0013111332
1.541530919,4.8691,213000.0,115.49,2689.0,12320.99,7631.0,1.937,1.1505098e-23
1.587485742,7.7489,247000.0,41.52,1460.0,1070.86,5863.0,0.821,9.004472e-19
3.3462671,3.625,4070.0,12.1727,1438.0,711.319,5501.0,1.91,1.0
4.446459958,2.558,5660.0,36.15,1030.0,265.42,5615.0,0.893,0.9982646
7.8687123,3.739,89.1,1.73,1323.0,722.44,6738.0,1.692,0.9999999
20.30303506,4.5038,533.0,2.16,630.0,37.12,5788.0,0.848,0.99998546
11.35626,6.047,2190.0,12.9372,1731.0,1493.65,6314.0,2.14,0.99999976
1.752450163,3.0255,55.5,0.79,1552.0,1372.36,5779.0,0.99,0.99999976
0.7888389,1.6416539,22614.89589,16.4131054,1913.896411,3170.988844,5568.0,1.0280499,0.99997187
7.064252021,1.3867,729.0,2.37,769.0,82.76,5076.0,0.799,1.0
1.8751894,2.798,9200.0,14.0349,1641.0,1205.51,5410.0,1.5,1.0
3.8426038,2.022,5880.0,12.7873,1285.0,453.87,7032.0,1.66,0.9999982
42.7305626,5.591,2711.0,4.03815,499.0,10.2931,5247.0,0.83,0.9999809
282.34315,3.956,221.0,2.35,404.0,6.31,7092.0,1.525,0.99998343
5.1409029,2.265,5830.0,8.29803,1057.0,207.445,6282.4,1.07,0.9999945
11.3298459,4.4750093,821.128478,3.4134506,807.9481883,100.7059307,5624.0,1.057,0.9999987
5.7310859,1.693,10870.0,11.8502,776.0,60.3278,5552.1,1.07,0.9999994
388.048463,3.456,150.0,3.0,376.0,4.71,5779.0,2.46,1.0
1.3821651,2.435,9250.0,17.6176,2576.0,7314.38,7662.0,1.94,0.99973303
371.17573,8.2,134.0,4.07,610.0,32.64,9030.0,3.218,0.999974
85.517344,9.331,270.0,3.04,482.0,12.75,5592.0,1.451,0.9999479
11.32028788,4.82219,243000.0,59.23,928.0,175.69,6153.0,1.127,5.9609563e-18
1.9663653,1.637,29670.0,13.2267,1033.0,189.304,4687.0,0.74,0.9999956
17.51191534,5.678,729.0,52.64,2246.0,6014.16,4029.0,20.888,1.0
2.183517999,4.2703,1320.0,4633.66,9791.0,2169685.72,3198.0,162.725,0.0
3.125821128,2.2163,5030.0,110.58,2087.0,4481.76,6137.0,2.852,0.9237739
1.061934307,3.211,265.0,18.7,1696.0,1958.71,5853.0,0.868,0.9998647
2.0915616,3.634,2560.0,14.2961,2796.0,10148.1,5551.0,1.62,0.9999988
11.8141726,5.5649352,1504.894167,6.9724932,1039.217341,275.6427299,5609.0,1.78598,1.0
19.4834833,4.6663301,1509.683272,3.5483433,466.947359,11.2355075,4362.0,0.733789,0.9999999
2.6755521,3.2277336,14340.99086,16.3355194,1548.879295,1360.164073,6783.0,1.3441499,0.99943084
